article_number,generated_headline
0,cable Republicans KGB agents smoke thrown explanation approach opponent warned
1,Republicans becoming the United States making remembered wives house loaded world campaign
2,Thursday function Modi crystal Monday the United States criticism hopes s return
3,threw closeness According % losses Hillary Clinton WikiLeaks Stein Michigan s
4,losses Hillary Clinton expected this weekend Cheer Democratic Sens victories convention vowing
5,adopting smoke thrown marble nationalists Georgia approach escape corridor offer
6,advantage men According room screenshots 19-year-old intruders Baylee Luciani endearing couple
7,Germany transports eight 2003 Czechoslovakia Czech plane keeping known died
8,Republicans making Moammar Gadhafi adding centers the Veterans Administration offer call discussed concerns
9,Thursday converted countries the United States making waste keeping enriching counterpart seven or eight months
